chain_id,sub_chain_id,store_id,item_status,allow_discount,price,unit_of_measure,unit_of_measure_price,is_weighted,quantity,quantity_unit,quantity_in_package,manufacturer_item_description,manufacture_country,manufacturer_name,name,item_type,code,price_date
7290027600007,001,001,0,true,10.9,"100 מ""ל",2.18,false,500.0,מיליליטרים,0,גולדסטאר בפחית,IL,,גולדסטאר בפחית,1,7290008464024,2022-09-30 00:30
7290027600007,001,001,0,true,27.9,ליטר,14.09,false,1.98,ליטרים,0,בירה מכבי 6 בקב.,IL,טמפו,"בירה מכבי 6 בק330* מ""ל",1,7290008464703,2022-09-30 00:30
7290027600007,001,001,1,true,54.9,"100 מ""ל",7.32,false,750.0,מיליליטרים,0,קברנה סוביניון,IL,,קברנה סוביניון,1,7290008670012,2022-09-30 00:25
7290027600007,001,001,1,true,54.9,"100 מ""ל",7.32,false,750.0,מיליליטרים,0,יין מרלו,IL,אגודת הכורמים הקואופרטיב,"מרלו סדרה אזורית 750 מ""ל",1,7290008803090,2022-09-30 00:25
7290027600007,001,001,0,true,13.5,100 גרם,7.5,false,180.0,גרמים,1,ממרח עגבניות,IL,"אוליביה גרומה בע""מ",ממרח עגבניות מיובשות180ג,1,7290008849661,2022-09-30 00:30
7290027600007,001,001,1,true,13.5,100 גרם,7.3,false,185.0,גרמים,1,אריסה פיקנטית,IL,"אוליביה גרומה בע""מ",אריסה פיקנטית 185 גרם,1,7290008849845,2022-09-30 00:30
7290027600007,001,001,1,true,49.9,"ק""ג",49.9,true,0.0,קילוגרמים,1,פילה טבעוף טרי,IL,טבעוף,פילה טבעוף טרי ארוז קג,0,7290009091298,2022-09-30 01:05
7290027600007,001,001,1,true,15.9,"ק""ג",15.9,true,0.0,קילוגרמים,1,עגבניית מגי,IL,כללי,עגבניית מגי אורגני ארוז,0,7290009137026,2022-09-30 01:05
7290027600007,001,001,1,true,89.9,"ק""ג",89.9,true,0.0,קילוגרמים,0,צלי כתף טרי,XX,כללי,צלי כתף טרי מוכשר יבוא ק,0,7290009392722,2022-09-30 00:30
7290027600007,001,001,1,true,89.9,"ק""ג",89.9,true,0.0,קילוגרמים,0,צלי כתף טרי,XX,כללי,צלי כתף טרי חלק יבוא קג,0,7290009392876,2022-09-30 00:30
